t_h,C_axis,C_surf,C_bar,T_axis,T_surf,R_cm,C_max
24.000000,0.285122,0.067319,0.205489,49.998934,49.998934,1.204000,0.285122
24.083333,0.284010,0.067155,0.204802,49.998934,49.998934,1.204000,0.284010
24.166667,0.282909,0.066994,0.204121,49.998934,49.998934,1.204000,0.282909
24.250000,0.281819,0.066836,0.203446,49.998934,49.998934,1.204000,0.281819
24.333333,0.280740,0.066679,0.202778,49.998934,49.998934,1.204000,0.280740
24.416667,0.279671,0.066525,0.202116,49.998934,49.998934,1.204000,0.279671
24.500000,0.278613,0.066372,0.201460,49.998934,49.998934,1.204000,0.278613
24.583333,0.277565,0.066221,0.200810,49.998934,49.998934,1.203833,0.277565
24.666667,0.276527,0.066072,0.200167,49.998934,49.998934,1.203667,0.276527
24.750000,0.275499,0.065925,0.199529,49.998934,49.998934,1.203500,0.275499
24.833333,0.274481,0.065780,0.198896,49.998934,49.998934,1.203333,0.274481
24.916667,0.273473,0.065636,0.198270,49.998934,49.998934,1.203167,0.273473
25.000000,0.272475,0.065494,0.197649,49.998934,49.998934,1.203000,0.272475
25.083333,0.271486,0.065352,0.197034,49.998934,49.998934,1.203000,0.271486
25.166667,0.270506,0.065213,0.196424,49.998934,49.998934,1.203000,0.270506
25.250000,0.269535,0.065075,0.195819,49.998934,49.998934,1.203000,0.269535
25.333333,0.268574,0.064939,0.195221,49.998934,49.998934,1.203000,0.268574
25.416667,0.267622,0.064804,0.194627,49.998934,49.998934,1.203000,0.267622
25.500000,0.266679,0.064671,0.194039,49.998934,49.998934,1.203000,0.266679
25.583333,0.265744,0.064539,0.193456,49.998934,49.998934,1.203000,0.265744
25.666667,0.264819,0.064409,0.192878,49.998934,49.998934,1.203000,0.264819
25.750000,0.263901,0.064279,0.192305,49.998934,49.998934,1.203000,0.263901
25.833333,0.262993,0.064151,0.191738,49.998934,49.998934,1.203000,0.262993
25.916667,0.262093,0.064024,0.191175,49.998934,49.998934,1.203000,0.262093
26.000000,0.261201,0.063898,0.190617,49.998934,49.998934,1.203000,0.261201
26.083333,0.260318,0.063773,0.190065,49.998934,49.998934,1.203000,0.260318
26.166667,0.259442,0.063651,0.189516,49.998934,49.998934,1.203000,0.259442
26.250000,0.258574,0.063530,0.188973,49.998934,49.998934,1.203000,0.258574
26.333333,0.257714,0.063411,0.188434,49.998934,49.998934,1.203000,0.257714
26.416667,0.256862,0.063293,0.187900,49.998934,49.998934,1.203000,0.256862
26.500000,0.256017,0.063178,0.187370,49.998934,49.998934,1.203000,0.256017
26.583333,0.255179,0.063064,0.186845,49.998934,49.998934,1.202833,0.255179
26.666667,0.254349,0.062952,0.186324,49.998934,49.998934,1.202667,0.254349
26.750000,0.253526,0.062841,0.185808,49.998934,49.998934,1.202500,0.253526
26.833333,0.252711,0.062733,0.185296,49.998934,49.998934,1.202333,0.252711
26.916667,0.251902,0.062627,0.184788,49.998934,49.998934,1.202167,0.251902
27.000000,0.251100,0.062522,0.184284,49.998934,49.998934,1.202000,0.251100
27.083333,0.250306,0.062418,0.183785,49.998934,49.998934,1.202000,0.250306
27.166667,0.249519,0.062316,0.183290,49.998934,49.998934,1.202000,0.249519
27.250000,0.248738,0.062215,0.182799,49.998934,49.998934,1.202000,0.248738
27.333333,0.247964,0.062115,0.182312,49.998934,49.998934,1.202000,0.247964
27.416667,0.247197,0.062018,0.181829,49.998934,49.998934,1.202000,0.247197
27.500000,0.246437,0.061922,0.181350,49.998934,49.998934,1.202000,0.246437
27.583333,0.245683,0.061827,0.180876,49.998934,49.998934,1.202000,0.245683
27.666667,0.244936,0.061734,0.180405,49.998934,49.998934,1.202000,0.244936
27.750000,0.244195,0.061643,0.179938,49.998934,49.998934,1.202000,0.244195
27.833333,0.243460,0.061554,0.179474,49.998934,49.998934,1.202000,0.243460
27.916667,0.242732,0.061464,0.179014,49.998934,49.998934,1.202000,0.242732
